feature,importance_mean,importance_std
Glucose,0.17734375000000008,0.011182765913324946
BMI,0.06783854166666671,0.004413659181426647
DiabetesPedigreeFunction,0.03229166666666672,0.004968433340713255
Pregnancies,0.01770833333333337,0.004773516348912333
Age,0.017317708333333383,0.004281063078847294
Insulin,0.011197916666666696,0.004592497939726155
BloodPressure,0.002213541666666696,0.0011718749999999852
SkinThickness,-0.00026041666666665186,0.0005208333333333037
